requested_n_clusters,status,models_trained,combined_cos_mean,combined_cos_p10,combined_cos_p50,combined_cos_p90,combined_mse,combined_r2_overall,combined_n,num_clamped_laws,mean_effective_n_clusters,min_effective_n_clusters,max_effective_n_clusters,total_train_time_seconds,mean_train_time_seconds,num_errors
100,ok,84,0.9386823177337646,0.9044540703296662,0.9419423937797546,0.9697655022144318,0.00011729531252058223,0.879808214747104,5000,0,100.0,100,100,436.8109049797058,5.200129821186974,0
200,ok,84,0.9496736526489258,0.9068128585815429,0.9551697969436646,0.9822302103042603,9.553947165841237e-05,0.9021013509155619,5000,0,200.0,200,200,856.3086171150208,10.194150203750247,0
300,ok,84,0.9535794854164124,0.9088164508342743,0.9606136083602905,0.9853714764118194,8.82942185853608e-05,0.9095254071118513,5000,0,300.0,300,300,1343.0884721279144,15.989148477713266,0
400,ok,84,0.9547520279884338,0.9093052685260773,0.962282806634903,0.9864389777183533,8.612739475211129e-05,0.9117457840079116,5000,0,400.0,400,400,1687.041386127472,20.083826025327046,0
