requested_n_clusters,law,effective_n_clusters,was_clamped,n_train_queries,n_train_core,n_val,n_test_queries,train_time_seconds,soft_cos_mean,soft_cos_p10,soft_cos_p50,soft_cos_p90,soft_mse,soft_r2_overall
100,ABGB,100,False,477,453,24,60,5.538689851760864,0.9365670680999756,0.9068165957927704,0.9413814842700958,0.9619779527187348,0.00011985158926108852,0.877191431020799
100,APG,100,False,477,453,24,60,5.383932113647461,0.9410780072212219,0.9158810794353485,0.9417754411697388,0.9718078553676606,0.00011152690422022715,0.8857174495588337
100,ASVG,100,False,477,453,24,60,5.144965887069702,0.9396229386329651,0.9121789038181305,0.9403060972690582,0.9664387881755829,0.00011433133477112278,0.8828467159786051
100,AVG,100,False,477,453,24,60,5.336254119873047,0.9464340806007385,0.9232769906520844,0.9469669759273529,0.9686926603317261,0.00010198224481428042,0.8954977092114816
100,AVRAG,100,False,477,453,24,60,5.377496719360352,0.9443116784095764,0.9220303297042847,0.9455186128616333,0.963771915435791,0.00010572587052593008,0.8916638122001975
100,AWG,100,False,477,453,24,60,5.152894973754883,0.9384604096412659,0.893341863155365,0.9423602521419525,0.9640122413635254,0.00011633017129497603,0.8807958979550534
100,AZG,100,False,477,453,24,60,5.263218879699707,0.9415217638015747,0.9197007179260254,0.9409695267677307,0.9614675998687744,0.0001109764416469261,0.886284127710111
100,AktG,100,False,477,453,24,60,5.180742979049683,0.938403844833374,0.9080131709575653,0.9365628659725189,0.9722363889217377,0.00011643787729553878,0.8806862203689931
100,AlVG,100,False,477,453,24,60,5.131586074829102,0.9393836855888367,0.9095210134983063,0.9383687376976013,0.9684169232845307,0.0001146817157859914,0.8824861182676453
100,AngG,100,False,477,453,24,60,5.148902893066406,0.9413431882858276,0.9101621091365815,0.9411703050136566,0.9668123483657837,0.00011117186659248546,0.886082707133817
100,ArbVG,100,False,477,453,24,60,5.133564710617065,0.9376834034919739,0.8951264977455139,0.9393567442893982,0.9684510886669159,0.00011776311293942854,0.8793307806726453
100,AsylG,100,False,477,453,24,60,5.108323097229004,0.9416932463645935,0.9191766858100892,0.9426528811454773,0.9674925208091736,0.00011053142952732742,0.8867389913112831
100,AußStrG,100,False,477,453,24,60,5.1162428855896,0.9485862255096436,0.9213441014289856,0.9498836696147919,0.9738953053951264,9.783935092855245e-05,0.899743820152662
100,AÜG,100,False,477,453,24,60,5.123577833175659,0.9350766539573669,0.9044872045516967,0.9370417892932892,0.9668454587459564,0.0001225163578055799,0.8744578647764447
100,B-VG,100,False,477,453,24,60,5.117021083831787,0.9375063180923462,0.9136030733585357,0.940457671880722,0.9612426817417145,0.00011831627489300445,0.8787616262084283
100,BAO,100,False,477,453,24,60,5.130820035934448,0.9431830048561096,0.918609482049942,0.9433432519435883,0.9713967263698577,0.00010767800995381549,0.8896633862330453
100,BEinstG,100,False,476,452,24,60,5.123512029647827,0.9353926181793213,0.9080650568008423,0.9338815212249756,0.9659617662429809,0.0001220595877384767,0.8749273768386893
100,BWG,100,False,476,452,24,60,5.1247718334198,0.9392251372337341,0.9078672051429748,0.9404502213001251,0.9682750046253205,0.00011491775512695312,0.8822445453931219
100,DSG,100,False,476,452,24,60,5.126830101013184,0.9431051015853882,0.9097517788410187,0.9424838125705719,0.9686191380023956,0.00010784524056361988,0.8894930359970905
100,DSGVO,100,False,476,452,24,60,5.117339134216309,0.935728132724762,0.9025348722934723,0.9405247867107391,0.9592057824134826,0.00012159984180470929,0.8754012792585543
100,ECG,100,False,476,452,24,60,5.133110046386719,0.9399797320365906,0.9208941042423249,0.9379649460315704,0.9659733295440673,0.00011368920240784064,0.8835069867137891
100,EKHG,100,False,476,452,24,60,5.12984299659729,0.9484846591949463,0.9275720477104187,0.9500415921211243,0.9704258859157562,9.797551319934428e-05,0.8996037401088118
100,EO,100,False,476,452,24,60,5.1298909187316895,0.9430350065231323,0.9197694301605225,0.9428694844245911,0.9629678308963776,0.00010801061580423266,0.889322117091382
100,EStG,100,False,476,452,24,60,5.124603271484375,0.9434307813644409,0.9173549950122833,0.9442895650863647,0.9687709987163544,0.0001071719016181305,0.8901814979577838
100,EheG,100,False,476,452,24,60,5.110526084899902,0.9442793726921082,0.9229500830173493,0.9468643367290497,0.9641775608062744,0.00010594206833047792,0.8914388912736939
100,ElWOG,100,False,476,452,24,60,5.405865907669067,0.9456775784492493,0.9251820623874665,0.9468249976634979,0.9765249490737915,0.00010308840865036473,0.894366940918829
100,FAGG,100,False,476,452,24,60,5.128270149230957,0.9468106031417847,0.9187693417072296,0.9495746195316315,0.9760003030300141,0.00010092961747432128,0.8965791112084932
100,FPG,100,False,476,452,24,60,5.087752103805542,0.936303973197937,0.8961426317691803,0.9418952167034149,0.9689835369586944,0.00012029663048451766,0.8767320307033499
100,FSG,100,False,476,452,24,60,5.087625026702881,0.9341654181480408,0.9076832115650177,0.9382010996341705,0.9591240048408508,0.00012431737559381872,0.8726129945120314
100,FinStrG,100,False,476,452,24,60,5.086621999740601,0.9441612362861633,0.9117141425609588,0.948415070772171,0.9701623857021332,0.00010588981967885047,0.891494129399181
100,GSVG,100,False,476,452,24,60,5.126977920532227,0.9447140097618103,0.9225671350955963,0.9425336122512817,0.9677602291107178,0.00010497682524146512,0.8924317978318275
100,GewO,100,False,476,452,24,60,5.092084884643555,0.9393266439437866,0.9110820293426514,0.9438503384590149,0.9587744116783142,0.00011503882706165314,0.8821204837918926
100,GlBG,100,False,476,452,24,60,5.107990026473999,0.9437824487686157,0.9146731913089752,0.9479756951332092,0.9683557391166687,0.00010661616397555918,0.8907544326983925
100,GmbHG,100,False,476,452,24,60,5.102529048919678,0.9467925429344177,0.9224297642707825,0.9475987255573273,0.9666566729545594,0.00010129365546163172,0.8962028050622055
100,GrEStG,100,False,476,452,24,60,5.113288879394531,0.942909300327301,0.9103643834590912,0.9428167045116425,0.9714124321937561,0.00010814402048708871,0.8891828663223651
100,IG-L,100,False,476,452,24,60,5.113977909088135,0.9412712454795837,0.9105467557907104,0.9412457644939423,0.9736425757408143,0.00011127586185466498,0.8859758002331097
100,IO,100,False,476,452,24,60,5.109677076339722,0.9427337050437927,0.9163999438285828,0.9436240196228027,0.9663891673088074,0.00010873589781112969,0.8885750175808016
100,KAKuG,100,False,476,452,24,60,5.361459970474243,0.9335116744041443,0.9069035053253174,0.9343701899051666,0.9544338524341583,0.0001256161485798657,0.8712829683193665
100,KBGG,100,False,476,452,24,60,5.254525184631348,0.9448152184486389,0.9242980718612671,0.9444050192832947,0.9702817022800445,0.00010471662972122431,0.892697426965315
100,KFG,100,False,476,452,24,60,5.156716823577881,0.89632648229599,0.730402135848999,0.9396355748176575,0.9668672502040863,0.00031404278706759214,0.6782040012156707
100,KJBG,100,False,476,452,24,60,5.18855619430542,0.9539834856987,0.9278016328811646,0.9539623260498047,0.9793662786483764,8.76660124049522e-05,0.9101697299423269
100,KSchG,100,False,476,452,24,60,5.173533916473389,0.9383016228675842,0.9060616910457611,0.9390808939933777,0.9695498168468475,0.00011664263729471713,0.880480183201771
100,KStG,100,False,476,452,24,60,6.053035020828247,0.9316596984863281,0.8962197422981262,0.9338362812995911,0.9637087523937226,0.0001287964842049405,0.8680208592462143
100,KartG,100,False,476,452,24,60,5.38651704788208,0.9409083127975464,0.9171575963497162,0.9414224624633789,0.9649690568447113,0.00011186706251464784,0.8853688797122949
100,KommStG,100,False,476,452,24,59,5.161841869354248,0.9389100074768066,0.914165735244751,0.9412790536880493,0.9691588521003723,0.00011552853538887575,0.8816167559967857
100,MRG,100,False,476,452,24,59,6.883419036865234,0.9338000416755676,0.9026511907577515,0.9363835453987122,0.9598445057868957,0.00012486842751968652,0.8720466356811998
100,MSchG,100,False,476,452,24,59,5.925389051437378,0.9486742615699768,0.9240425109863282,0.951278805732727,0.9692654967308044,9.75642105913721e-05,0.9000267742930813
100,MeldeG,100,False,476,452,24,59,5.363754987716675,0.944206178188324,0.9039495825767517,0.9484471678733826,0.9761581897735596,0.00010572066821623594,0.8916692195961465
100,NAG,100,False,476,452,24,59,5.3252599239349365,0.9423621296882629,0.9122141003608704,0.9421009421348572,0.9765969276428222,0.00010908312833635136,0.8882228393873567
100,NoVAG,100,False,476,452,24,59,5.374112129211426,0.9406355023384094,0.9172435641288758,0.9411888122558594,0.960565733909607,0.00011247191287111491,0.884750132376256
100,PSG,100,False,476,452,24,59,5.405647039413452,0.9297860860824585,0.9017065763473511,0.9312736392021179,0.9566563963890076,0.0001323349861195311,0.8643970634600269
100,PatG,100,False,476,452,24,59,5.552867889404297,0.9441720843315125,0.9069438934326172,0.9458048939704895,0.972925341129303,0.00010582378308754414,0.891564672926353
100,SH-GG,100,False,476,452,24,59,5.187288761138916,0.9498128890991211,0.9306514382362365,0.9512622356414795,0.9752207279205323,9.560844046063721e-05,0.9020296876087774
100,SMG,100,False,476,452,24,59,5.151427984237671,0.9369952082633972,0.9089829802513123,0.9378631711006165,0.9655381441116333,0.00011899168021045625,0.8780704648550137
100,SPG,100,False,476,452,24,59,5.168159008026123,0.9407684803009033,0.9128215551376343,0.9419071078300476,0.9671616792678833,0.00011224795889575034,0.8849816915167438
100,SchUG,100,False,476,452,24,59,5.149774074554443,0.9354603886604309,0.9051783442497253,0.9353591799736023,0.9683046817779541,0.00012173034338047728,0.8752658706199726
100,StGB,100,False,476,452,24,59,5.1861350536346436,0.9292939901351929,0.898829174041748,0.9292528629302979,0.9664480566978455,0.00013311907241586596,0.8635985288843857
100,StPO,100,False,476,452,24,59,5.095734119415283,0.9505003094673157,0.9226519107818604,0.9519994854927063,0.9784598588943482,9.411832434125245e-05,0.9035575759105022
100,StVO,100,False,476,452,24,59,5.223042011260986,0.957673966884613,0.934928584098816,0.9638713002204895,0.9779216170310974,8.078155224211514e-05,0.9172224584513662
100,StbG,100,False,476,452,24,59,5.073933124542236,0.9347206354141235,0.8972432017326355,0.9348421692848206,0.9689250230789185,0.0001231609785463661,0.8737967463699636
100,TKG,100,False,476,452,24,59,5.082221984863281,0.9516739845275879,0.9305672407150268,0.9517486691474915,0.973576819896698,9.196594328386709e-05,0.9057645882678185
100,TSchG,100,False,476,452,24,59,5.076752185821533,0.9442721605300903,0.9183977246284485,0.942488431930542,0.9734067797660828,0.00010575284977676347,0.8916375161657581
100,UG,100,False,476,452,24,59,5.071446180343628,0.9362339377403259,0.8985973358154297,0.9335724711418152,0.9631616592407227,0.00012046869233017787,0.8765585011189952
100,UGB,100,False,476,452,24,59,5.065453052520752,0.9409927129745483,0.9146973609924316,0.9390037655830383,0.9633871436119079,0.00011187679774593562,0.8853586927863533
100,UStG,100,False,476,452,24,59,5.063489198684692,0.9369111657142639,0.9065870523452759,0.9363746643066406,0.9695214867591858,0.00011916963558178395,0.8778862056467177
100,UVP-G,100,False,476,452,24,59,5.064388036727905,0.9369529485702515,0.9090283870697021,0.9361249208450317,0.9704045295715332,0.00011924715363420546,0.877807852972396
100,UWG,100,False,476,452,24,59,5.049853801727295,0.9374891519546509,0.9137362241744995,0.9363043904304504,0.9635644316673279,0.00011823521344922483,0.8788471566744531
100,UrhG,100,False,476,452,24,59,5.0675530433654785,0.9412388801574707,0.9111765265464783,0.9412217736244202,0.9691349506378174,0.00011146496399305761,0.8857856249055005
